Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDS21,19.85,reg,3.5,Snack Foods,61.92,OUT010,1998,,Tier 3,Grocery Store,124.0
NCJ06,,Low Fat,6.1,Household,119.88,OUT019,1985,Small,Tier 1,Grocery Store,238.0
FDX49,4.615,Regular,10.2,Canned,231.93,OUT045,2002,,Tier 2,Supermarket Type1,2563.0
FDU33,7.63,Regular,13.5,Snack Foods,47.24,OUT018,2009,Medium,Tier 3,Supermarket Type2,919.0
NCN06,8.39,Low Fat,12.0,Household,163.49,OUT013,1987,High,Tier 3,Supermarket Type1,4586.0
NCN53,5.175,Low Fat,3.1,Health and Hygiene,33.59,OUT017,2007,,Tier 2,Supermarket Type1,635.0
NCE30,16.0,Low Fat,9.9,Household,212.69,OUT013,1987,High,Tier 3,Supermarket Type1,637.0
FDN21,,Low Fat,13.5,Snack Foods,159.82,OUT019,1985,Small,Tier 1,Grocery Store,322.0
FDB52,,Low Fat,3.0,Dairy,256.77,OUT027,1985,Medium,Tier 3,Supermarket Type3,4346.0
FDA26,,Regular,7.4,Dairy,217.65,OUT027,1985,Medium,Tier 3,Supermarket Type3,3286.0
FDD23,9.5,Regular,4.9,Starchy Foods,185.79,OUT018,2009,Medium,Tier 3,Supermarket Type2,2619.0
FDH57,10.895,Low Fat,3.6,Fruits and Vegetables,131.33,OUT018,2009,Medium,Tier 3,Supermarket Type2,1318.0
FDO15,,Regular,1.5,Meat,72.4,OUT019,1985,Small,Tier 1,Grocery Store,222.0
FDY49,17.2,Regular,1.2,Canned,163.12,OUT046,1997,Small,Tier 1,Supermarket Type1,4623.0
FDP20,19.85,Low Fat,4.6,Fruits and Vegetables,127.1,OUT018,2009,Medium,Tier 3,Supermarket Type2,1771.0
DRG11,6.385,Low Fat,14.0,Hard Drinks,109.16,OUT010,1998,,Tier 3,Grocery Store,108.0
DRJ59,11.65,Low Fat,1.9,Hard Drinks,38.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,579.0
FDP34,12.85,Low Fat,0.0,Snack Foods,155.46,OUT035,2004,Small,Tier 2,Supermarket Type1,4068.0
FDY04,17.7,Regular,4.3,Frozen Foods,163.22,OUT017,2007,,Tier 2,Supermarket Type1,1794.0
FDV11,9.1,Regular,8.2,Breads,173.61,OUT049,1999,Medium,Tier 1,Supermarket Type1,700.0
FDG20,15.5,Regular,12.6,Fruits and Vegetables,176.0,OUT045,2002,,Tier 2,Supermarket Type1,1240.0
NCH55,16.35,Low Fat,0.0,Household,127.9,OUT017,2007,,Tier 2,Supermarket Type1,2151.0
FDV34,10.695,Regular,1.1,Snack Foods,75.2,OUT018,2009,Medium,Tier 3,Supermarket Type2,517.0
FDT44,16.6,Low Fat,10.3,Fruits and Vegetables,117.25,OUT049,1999,Medium,Tier 1,Supermarket Type1,2239.0
FDG35,,Regular,1.2,Starchy Foods,173.87,OUT019,1985,Small,Tier 1,Grocery Store,348.0
FDG08,13.15,Regular,16.6,Fruits and Vegetables,170.88,OUT018,2009,Medium,Tier 3,Supermarket Type2,2233.0
FDX52,11.5,Regular,4.2,Frozen Foods,194.98,OUT017,2007,,Tier 2,Supermarket Type1,3089.0
NCH54,,Low Fat,7.2,Household,160.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,3675.0
FDU24,,Regular,13.9,Baking Goods,94.31,OUT027,1985,Medium,Tier 3,Supermarket Type3,2517.0
FDW03,5.63,Regular,2.5,Meat,106.13,OUT035,2004,Small,Tier 2,Supermarket Type1,2091.0
FDV01,19.2,Regular,8.5,Canned,153.43,OUT018,2009,Medium,Tier 3,Supermarket Type2,1862.0
FDQ39,,Low Fat,8.1,Meat,189.98,OUT027,1985,Medium,Tier 3,Supermarket Type3,6115.0
FDA16,6.695,Low Fat,0.0,Frozen Foods,219.45,OUT046,1997,Small,Tier 1,Supermarket Type1,3095.0
FDO12,15.75,Low Fat,5.5,Baking Goods,194.45,OUT046,1997,Small,Tier 1,Supermarket Type1,5089.0
FDM44,12.5,Low Fat,3.1,Fruits and Vegetables,103.9,OUT049,1999,Medium,Tier 1,Supermarket Type1,1961.0
FDT03,21.25,Low Fat,1.7,Meat,185.26,OUT010,1998,,Tier 3,Grocery Store,184.0
NCQ18,,Low Fat,13.4,Household,99.67,OUT027,1985,Medium,Tier 3,Supermarket Type3,2597.0
NCL18,18.85,Low Fat,16.8,Household,195.51,OUT018,2009,Medium,Tier 3,Supermarket Type2,1750.0
NCJ06,20.1,Low Fat,3.5,Household,120.68,OUT035,2004,Small,Tier 2,Supermarket Type1,1311.0
NCQ05,11.395,Low Fat,2.2,Health and Hygiene,150.17,OUT049,1999,Medium,Tier 1,Supermarket Type1,2708.0
FDS35,9.3,Low Fat,11.1,Breads,64.68,OUT045,2002,,Tier 2,Supermarket Type1,1098.0
NCI18,,Low Fat,1.4,Household,222.37,OUT027,1985,Medium,Tier 3,Supermarket Type3,5609.0
NCO55,12.8,Low Fat,15.2,Others,108.19,OUT010,1998,,Tier 3,Grocery Store,429.0
FDW24,6.8,Low Fat,3.7,Baking Goods,47.5,OUT013,1987,High,Tier 3,Supermarket Type1,535.0
NCS05,,low fat,2.1,Health and Hygiene,133.79,OUT027,1985,Medium,Tier 3,Supermarket Type3,1722.0
FDO48,15.0,Regular,2.7,Baking Goods,220.35,OUT045,2002,,Tier 2,Supermarket Type1,1989.0
FDT35,19.85,Regular,8.2,Breads,167.68,OUT017,2007,,Tier 2,Supermarket Type1,1846.0
DRN11,7.85,Low Fat,16.3,Hard Drinks,144.64,OUT049,1999,Medium,Tier 1,Supermarket Type1,2467.0
FDY57,20.2,Regular,12.2,Snack Foods,96.98,OUT018,2009,Medium,Tier 3,Supermarket Type2,1726.0
DRE27,11.85,Low Fat,13.3,Dairy,98.07,OUT045,2002,,Tier 2,Supermarket Type1,1762.0
FDM24,6.135,Regular,7.9,Baking Goods,152.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2872.0
FDX09,9.0,LF,6.5,Snack Foods,177.74,OUT013,1987,High,Tier 3,Supermarket Type1,2117.0
FDY45,17.5,Low Fat,2.6,Snack Foods,255.14,OUT018,2009,Medium,Tier 3,Supermarket Type2,3815.0
FDF41,12.15,Low Fat,13.2,Frozen Foods,246.35,OUT017,2007,,Tier 2,Supermarket Type1,739.0
FDG05,11.0,Regular,0.0,Frozen Foods,155.26,OUT049,1999,Medium,Tier 1,Supermarket Type1,626.0
FDF05,17.5,Low Fat,2.7,Frozen Foods,261.69,OUT035,2004,Small,Tier 2,Supermarket Type1,4208.0
FDU19,,Regular,4.7,Fruits and Vegetables,172.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,4828.0
DRH39,,Low Fat,9.2,Dairy,75.87,OUT027,1985,Medium,Tier 3,Supermarket Type3,2450.0
FDP57,17.5,Low Fat,5.3,Snack Foods,103.8,OUT017,2007,,Tier 2,Supermarket Type1,1135.0
FDE58,,Low Fat,0.0,Snack Foods,119.81,OUT027,1985,Medium,Tier 3,Supermarket Type3,1659.0
DRD15,10.6,Low Fat,5.7,Dairy,233.66,OUT013,1987,High,Tier 3,Supermarket Type1,3950.0
FDJ52,7.145,Low Fat,1.8,Frozen Foods,161.36,OUT045,2002,,Tier 2,Supermarket Type1,1123.0
FDS01,,Low Fat,1.8,Canned,175.97,OUT027,1985,Medium,Tier 3,Supermarket Type3,5866.0
FDZ47,20.7,Regular,7.9,Baking Goods,97.2,OUT046,1997,Small,Tier 1,Supermarket Type1,1686.0
FDG35,,reg,0.7,Starchy Foods,173.57,OUT027,1985,Medium,Tier 3,Supermarket Type3,1216.0
FDY45,17.5,Low Fat,2.6,Snack Foods,252.64,OUT045,2002,,Tier 2,Supermarket Type1,2543.0
FDY04,17.7,Regular,4.3,Frozen Foods,161.92,OUT049,1999,Medium,Tier 1,Supermarket Type1,2121.0
FDY47,8.6,Regular,5.4,Breads,131.03,OUT035,2004,Small,Tier 2,Supermarket Type1,1039.0
FDE28,9.5,Regular,0.0,Frozen Foods,228.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,3916.0
FDJ27,17.7,Regular,12.2,Meat,101.57,OUT018,2009,Medium,Tier 3,Supermarket Type2,1630.0
FDH58,12.3,low fat,3.7,Snack Foods,116.88,OUT017,2007,,Tier 2,Supermarket Type1,2649.0
NCV42,6.26,Low Fat,5.3,Household,111.02,OUT010,1998,,Tier 3,Grocery Store,221.0
NCQ54,17.7,Low Fat,1.3,Household,167.65,OUT018,2009,Medium,Tier 3,Supermarket Type2,3874.0
FDL44,18.25,Low Fat,1.2,Fruits and Vegetables,162.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,647.0
FDY50,5.8,LF,13.1,Dairy,89.72,OUT018,2009,Medium,Tier 3,Supermarket Type2,1606.0
FDR59,14.5,Regular,6.4,Breads,262.76,OUT017,2007,,Tier 2,Supermarket Type1,7065.0
FDH35,18.25,Low Fat,6.1,Starchy Foods,162.55,OUT017,2007,,Tier 2,Supermarket Type1,987.0
FDX08,12.85,Low Fat,2.3,Fruits and Vegetables,179.33,OUT045,2002,,Tier 2,Supermarket Type1,1263.0
FDL20,17.1,Low Fat,12.8,Fruits and Vegetables,111.99,OUT035,2004,Small,Tier 2,Supermarket Type1,1445.0
FDB27,7.575,Low Fat,5.5,Dairy,196.88,OUT049,1999,Medium,Tier 1,Supermarket Type1,1182.0
FDA56,9.21,Low Fat,0.9,Fruits and Vegetables,120.84,OUT013,1987,High,Tier 3,Supermarket Type1,2071.0
FDV39,11.3,Low Fat,0.7,Meat,196.64,OUT013,1987,High,Tier 3,Supermarket Type1,5141.0
FDU38,,LF,14.5,Dairy,190.65,OUT019,1985,Small,Tier 1,Grocery Store,575.0
FDT55,13.6,Regular,4.4,Fruits and Vegetables,157.79,OUT045,2002,,Tier 2,Supermarket Type1,1105.0
FDS24,20.85,Regular,6.2,Baking Goods,87.25,OUT018,2009,Medium,Tier 3,Supermarket Type2,1505.0
FDS15,9.195,Regular,7.8,Meat,106.36,OUT046,1997,Small,Tier 1,Supermarket Type1,2912.0
FDF05,,Low Fat,2.7,Frozen Foods,261.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,5523.0
DRP47,15.75,Low Fat,14.1,Hard Drinks,252.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,2776.0
FDA25,16.5,Regular,6.8,Canned,102.0,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.0
FDA19,,Low Fat,0.0,Fruits and Vegetables,126.7,OUT019,1985,Small,Tier 1,Grocery Store,257.0
NCM26,20.5,LF,2.3,Others,154.63,OUT013,1987,High,Tier 3,Supermarket Type1,2297.0
FDS46,17.6,Regular,4.7,Snack Foods,118.18,OUT018,2009,Medium,Tier 3,Supermarket Type2,2622.0
DRH15,8.775,Low Fat,11.0,Dairy,42.74,OUT018,2009,Medium,Tier 3,Supermarket Type2,791.0
NCR05,10.1,Low Fat,5.5,Health and Hygiene,197.51,OUT035,2004,Small,Tier 2,Supermarket Type1,2976.0
NCY17,18.2,Low Fat,0.0,Health and Hygiene,44.11,OUT045,2002,,Tier 2,Supermarket Type1,1115.0
FDZ01,8.975,Regular,0.9,Canned,103.1,OUT013,1987,High,Tier 3,Supermarket Type1,310.0
FDP31,,Regular,16.1,Fruits and Vegetables,65.72,OUT027,1985,Medium,Tier 3,Supermarket Type3,2237.0
FDE57,9.6,Low Fat,3.6,Fruits and Vegetables,141.02,OUT013,1987,High,Tier 3,Supermarket Type1,2694.0
FDZ44,8.185,Low Fat,6.5,Fruits and Vegetables,116.08,OUT010,1998,,Tier 3,Grocery Store,234.0
NCP53,14.75,Low Fat,3.3,Health and Hygiene,236.69,OUT018,2009,Medium,Tier 3,Supermarket Type2,3090.0
NCA06,20.5,Low Fat,14.4,Household,37.22,OUT045,2002,,Tier 2,Supermarket Type1,476.0
FDP22,14.65,Regular,9.9,Snack Foods,51.37,OUT045,2002,,Tier 2,Supermarket Type1,1077.0
FDW37,19.2,Low Fat,12.5,Canned,90.95,OUT017,2007,,Tier 2,Supermarket Type1,634.0
NCS30,5.945,Low Fat,9.3,Household,127.37,OUT049,1999,Medium,Tier 1,Supermarket Type1,1550.0
FDB40,17.5,Regular,0.8,Dairy,144.21,OUT035,2004,Small,Tier 2,Supermarket Type1,4083.0
FDC51,10.895,Regular,1.0,Dairy,122.87,OUT017,2007,,Tier 2,Supermarket Type1,3449.0
FDC11,20.5,LF,14.2,Starchy Foods,89.72,OUT046,1997,Small,Tier 1,Supermarket Type1,1160.0
FDC59,,Regular,5.4,Starchy Foods,63.82,OUT027,1985,Medium,Tier 3,Supermarket Type3,959.0
FDE14,13.65,Regular,3.2,Canned,99.47,OUT018,2009,Medium,Tier 3,Supermarket Type2,300.0
NCT41,15.7,LF,5.6,Health and Hygiene,150.6,OUT013,1987,High,Tier 3,Supermarket Type1,2429.0
FDP52,18.7,Regular,0.0,Frozen Foods,229.2,OUT035,2004,Small,Tier 2,Supermarket Type1,3216.0
DRA24,19.35,Regular,6.7,Soft Drinks,163.89,OUT010,1998,,Tier 3,Grocery Store,328.0
FDC40,16.0,Regular,6.5,Dairy,79.4,OUT049,1999,Medium,Tier 1,Supermarket Type1,857.0
NCA42,6.965,Low Fat,0.0,Household,159.46,OUT013,1987,High,Tier 3,Supermarket Type1,3169.0
FDT27,11.395,Regular,7.0,Meat,233.96,OUT045,2002,,Tier 2,Supermarket Type1,1406.0
NCW54,7.5,Low Fat,9.7,Household,56.96,OUT045,2002,,Tier 2,Supermarket Type1,744.0
DRB13,6.115,Regular,0.7,Soft Drinks,189.25,OUT013,1987,High,Tier 3,Supermarket Type1,3605.0
FDY02,,Regular,15.3,Dairy,264.09,OUT019,1985,Small,Tier 1,Grocery Store,263.0
FDS59,14.8,Regular,4.4,Breads,110.66,OUT045,2002,,Tier 2,Supermarket Type1,2966.0
FDR49,8.71,Low Fat,13.9,Canned,46.14,OUT035,2004,Small,Tier 2,Supermarket Type1,384.0
FDY40,15.5,Regular,8.6,Frozen Foods,50.97,OUT018,2009,Medium,Tier 3,Supermarket Type2,394.0
FDL48,19.35,Regular,8.2,Baking Goods,48.7,OUT035,2004,Small,Tier 2,Supermarket Type1,535.0
DRI01,,Low Fat,3.4,Soft Drinks,173.14,OUT027,1985,Medium,Tier 3,Supermarket Type3,5001.0
FDZ52,19.2,Low Fat,10.0,Frozen Foods,111.89,OUT018,2009,Medium,Tier 3,Supermarket Type2,1668.0
FDK32,16.25,Regular,4.9,Fruits and Vegetables,152.47,OUT049,1999,Medium,Tier 1,Supermarket Type1,2439.0
FDK51,19.85,Low Fat,0.5,Dairy,265.19,OUT013,1987,High,Tier 3,Supermarket Type1,5035.0
FDP28,13.65,Regular,8.1,Frozen Foods,259.69,OUT035,2004,Small,Tier 2,Supermarket Type1,2088.0
DRZ24,7.535,Low Fat,8.2,Soft Drinks,120.84,OUT046,1997,Small,Tier 1,Supermarket Type1,2157.0
FDG04,,Low Fat,1.1,Frozen Foods,185.19,OUT019,1985,Small,Tier 1,Grocery Store,374.0
FDF58,,Low Fat,1.0,Snack Foods,64.55,OUT027,1985,Medium,Tier 3,Supermarket Type3,1202.0
FDI21,5.59,Regular,5.7,Snack Foods,63.22,OUT046,1997,Small,Tier 1,Supermarket Type1,1726.0
FDZ43,11.0,Regular,5.7,Fruits and Vegetables,240.45,OUT035,2004,Small,Tier 2,Supermarket Type1,7028.0
FDI57,19.85,Low Fat,5.4,Seafood,195.08,OUT049,1999,Medium,Tier 1,Supermarket Type1,1971.0
FDV03,17.6,Low Fat,5.8,Meat,153.63,OUT045,2002,,Tier 2,Supermarket Type1,5274.0
FDT12,6.215,Regular,8.3,Baking Goods,224.41,OUT010,1998,,Tier 3,Grocery Store,226.0
FDF29,15.1,Regular,2.0,Frozen Foods,128.83,OUT018,2009,Medium,Tier 3,Supermarket Type2,1818.0
FDU02,13.35,low fat,10.2,Dairy,230.64,OUT013,1987,High,Tier 3,Supermarket Type1,5726.0
FDD23,9.5,Regular,4.9,Starchy Foods,186.59,OUT049,1999,Medium,Tier 1,Supermarket Type1,5239.0
FDN04,11.8,Regular,0.0,Frozen Foods,179.23,OUT035,2004,Small,Tier 2,Supermarket Type1,2141.0
FDG29,17.6,Low Fat,5.6,Frozen Foods,40.35,OUT035,2004,Small,Tier 2,Supermarket Type1,797.0
FDK51,19.85,Low Fat,0.9,Dairy,266.69,OUT010,1998,,Tier 3,Grocery Store,265.0
FDB53,13.35,Low Fat,14.0,Frozen Foods,147.64,OUT049,1999,Medium,Tier 1,Supermarket Type1,1939.0
DRI23,18.85,Low Fat,13.8,Hard Drinks,158.46,OUT017,2007,,Tier 2,Supermarket Type1,1444.0
FDP57,17.5,Low Fat,0.0,Snack Foods,103.0,OUT046,1997,Small,Tier 1,Supermarket Type1,2993.0
FDY57,20.2,reg,12.2,Snack Foods,95.38,OUT017,2007,,Tier 2,Supermarket Type1,1151.0
NCT42,5.88,Low Fat,2.5,Household,149.94,OUT049,1999,Medium,Tier 1,Supermarket Type1,1491.0
FDZ21,,Regular,3.9,Snack Foods,95.64,OUT027,1985,Medium,Tier 3,Supermarket Type3,1738.0
FDC50,15.85,Low Fat,13.7,Canned,94.41,OUT017,2007,,Tier 2,Supermarket Type1,1904.0
FDT40,5.985,Low Fat,9.6,Frozen Foods,127.37,OUT045,2002,,Tier 2,Supermarket Type1,509.0
FDD50,18.85,Low Fat,14.2,Canned,170.41,OUT017,2007,,Tier 2,Supermarket Type1,4397.0
DRI23,18.85,Low Fat,13.7,Hard Drinks,161.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,1605.0
FDQ46,7.51,Low Fat,10.4,Snack Foods,113.55,OUT017,2007,,Tier 2,Supermarket Type1,895.0
NCW06,16.2,Low Fat,0.0,Household,190.82,OUT035,2004,Small,Tier 2,Supermarket Type1,3271.0
NCX06,17.6,Low Fat,1.6,Household,182.6,OUT018,2009,Medium,Tier 3,Supermarket Type2,1630.0
NCE19,8.97,Low Fat,9.3,Household,54.7,OUT013,1987,High,Tier 3,Supermarket Type1,764.0
FDI60,7.22,Regular,3.8,Baking Goods,64.75,OUT013,1987,High,Tier 3,Supermarket Type1,127.0
FDC47,,Low Fat,20.8,Snack Foods,228.17,OUT019,1985,Small,Tier 1,Grocery Store,228.0
FDE02,8.71,Low Fat,12.2,Canned,94.48,OUT017,2007,,Tier 2,Supermarket Type1,2629.0
FDE11,17.7,Regular,13.6,Starchy Foods,186.09,OUT018,2009,Medium,Tier 3,Supermarket Type2,3517.0
FDP11,15.85,Low Fat,6.9,Breads,217.52,OUT045,2002,,Tier 2,Supermarket Type1,653.0
FDB08,6.055,Low Fat,3.1,Fruits and Vegetables,160.36,OUT017,2007,,Tier 2,Supermarket Type1,2407.0
FDL48,,Regular,8.2,Baking Goods,46.8,OUT027,1985,Medium,Tier 3,Supermarket Type3,1069.0
FDH26,19.25,Regular,3.5,Canned,141.55,OUT049,1999,Medium,Tier 1,Supermarket Type1,1976.0
FDI33,16.5,Low Fat,2.8,Snack Foods,91.01,OUT045,2002,,Tier 2,Supermarket Type1,1368.0
FDQ26,13.5,Regular,6.8,Dairy,57.86,OUT046,1997,Small,Tier 1,Supermarket Type1,356.0
FDN03,,Regular,2.6,Meat,250.94,OUT019,1985,Small,Tier 1,Grocery Store,1001.0
FDO13,7.865,Low Fat,6.1,Breakfast,164.55,OUT045,2002,,Tier 2,Supermarket Type1,1645.0
NCJ29,10.6,Low Fat,3.5,Health and Hygiene,84.72,OUT049,1999,Medium,Tier 1,Supermarket Type1,1619.0
FDE52,,Regular,3.0,Dairy,88.95,OUT027,1985,Medium,Tier 3,Supermarket Type3,3454.0
FDA52,16.2,Regular,12.8,Frozen Foods,178.34,OUT035,2004,Small,Tier 2,Supermarket Type1,1411.0
FDF57,14.5,Regular,5.9,Fruits and Vegetables,169.74,OUT049,1999,Medium,Tier 1,Supermarket Type1,3238.0
NCO26,7.235,Low Fat,7.7,Household,116.45,OUT013,1987,High,Tier 3,Supermarket Type1,2317.0
DRL59,16.75,Low Fat,2.1,Hard Drinks,55.13,OUT035,2004,Small,Tier 2,Supermarket Type1,1240.0
FDC60,,Regular,20.0,Baking Goods,88.85,OUT019,1985,Small,Tier 1,Grocery Store,266.0
DRD25,,Low Fat,7.9,Soft Drinks,113.29,OUT027,1985,Medium,Tier 3,Supermarket Type3,2716.0
FDB26,14.0,Regular,3.1,Canned,52.56,OUT035,2004,Small,Tier 2,Supermarket Type1,639.0
FDK51,19.85,Low Fat,0.5,Dairy,265.89,OUT046,1997,Small,Tier 1,Supermarket Type1,2650.0
FDE53,10.895,Low Fat,2.7,Frozen Foods,106.33,OUT017,2007,,Tier 2,Supermarket Type1,852.0
FDV24,5.635,Low Fat,17.3,Baking Goods,148.21,OUT010,1998,,Tier 3,Grocery Store,449.0
FDI34,10.65,Regular,8.6,Snack Foods,229.37,OUT017,2007,,Tier 2,Supermarket Type1,2304.0
FDL36,15.1,Low Fat,12.7,Baking Goods,88.28,OUT010,1998,,Tier 3,Grocery Store,90.0
NCA54,16.5,Low Fat,3.7,Household,178.73,OUT046,1997,Small,Tier 1,Supermarket Type1,1263.0
FDI38,13.35,Regular,1.5,Canned,208.56,OUT045,2002,,Tier 2,Supermarket Type1,2278.0
FDG31,12.15,Low Fat,3.8,Meat,63.08,OUT013,1987,High,Tier 3,Supermarket Type1,323.0
FDA21,13.65,Low Fat,3.6,Snack Foods,186.39,OUT049,1999,Medium,Tier 1,Supermarket Type1,1296.0
FDI09,20.75,Regular,13.0,Seafood,240.29,OUT049,1999,Medium,Tier 1,Supermarket Type1,2397.0
FDI20,19.1,Low Fat,3.9,Fruits and Vegetables,210.66,OUT013,1987,High,Tier 3,Supermarket Type1,5488.0
DRI51,17.25,LF,0.0,Dairy,171.58,OUT045,2002,,Tier 2,Supermarket Type1,4638.0
DRZ11,,Regular,11.2,Soft Drinks,123.04,OUT027,1985,Medium,Tier 3,Supermarket Type3,1981.0
FDY07,,Low Fat,0.0,Fruits and Vegetables,45.94,OUT027,1985,Medium,Tier 3,Supermarket Type3,873.0
FDC58,10.195,Low Fat,4.2,Snack Foods,43.84,OUT013,1987,High,Tier 3,Supermarket Type1,176.0
NCC30,16.6,Low Fat,2.8,Household,176.63,OUT013,1987,High,Tier 3,Supermarket Type1,1963.0
FDY03,17.6,Regular,7.6,Meat,111.82,OUT013,1987,High,Tier 3,Supermarket Type1,2025.0
FDZ44,8.185,Low Fat,3.9,Fruits and Vegetables,117.18,OUT046,1997,Small,Tier 1,Supermarket Type1,1875.0
FDP28,13.65,Regular,8.1,Frozen Foods,261.19,OUT045,2002,,Tier 2,Supermarket Type1,2349.0
DRD15,10.6,Low Fat,5.7,Dairy,231.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,3021.0
FDL08,10.8,Low Fat,5.0,Fruits and Vegetables,243.91,OUT017,2007,,Tier 2,Supermarket Type1,4655.0
FDP25,15.2,Low Fat,2.1,Canned,219.48,OUT046,1997,Small,Tier 1,Supermarket Type1,1747.0
DRK59,8.895,Low Fat,0.0,Hard Drinks,232.96,OUT045,2002,,Tier 2,Supermarket Type1,2812.0
DRJ24,11.8,Low Fat,11.3,Soft Drinks,187.09,OUT035,2004,Small,Tier 2,Supermarket Type1,1851.0
FDU33,7.63,Regular,22.5,Snack Foods,45.14,OUT010,1998,,Tier 3,Grocery Store,46.0
FDX47,6.55,Regular,3.5,Breads,157.53,OUT017,2007,,Tier 2,Supermarket Type1,1571.0
FDR46,16.85,Low Fat,13.9,Snack Foods,144.98,OUT013,1987,High,Tier 3,Supermarket Type1,2783.0
FDZ56,,Low Fat,2.6,Fruits and Vegetables,168.25,OUT027,1985,Medium,Tier 3,Supermarket Type3,3201.0
NCO26,7.235,Low Fat,7.7,Household,116.95,OUT017,2007,,Tier 2,Supermarket Type1,2317.0
FDV38,19.25,Low Fat,10.2,Dairy,55.2,OUT035,2004,Small,Tier 2,Supermarket Type1,491.0
FDL13,13.85,Regular,9.4,Breakfast,233.93,OUT010,1998,,Tier 3,Grocery Store,233.0
FDD57,18.1,LF,2.2,Fruits and Vegetables,93.61,OUT013,1987,High,Tier 3,Supermarket Type1,476.0
FDE46,18.6,Low Fat,1.6,Snack Foods,153.14,OUT013,1987,High,Tier 3,Supermarket Type1,3174.0
FDB28,6.615,Low Fat,15.6,Dairy,196.34,OUT010,1998,,Tier 3,Grocery Store,791.0
FDC41,15.6,Low Fat,19.6,Frozen Foods,77.37,OUT010,1998,,Tier 3,Grocery Store,153.0
DRI23,18.85,Low Fat,13.7,Hard Drinks,158.66,OUT045,2002,,Tier 2,Supermarket Type1,3370.0
FDL33,7.235,Low Fat,0.0,Snack Foods,197.25,OUT035,2004,Small,Tier 2,Supermarket Type1,2349.0
FDS03,7.825,Low Fat,8.0,Meat,63.48,OUT046,1997,Small,Tier 1,Supermarket Type1,2002.0
NCY18,,Low Fat,3.1,Household,177.01,OUT027,1985,Medium,Tier 3,Supermarket Type3,2101.0
FDE50,19.7,Regular,1.6,Canned,188.26,OUT035,2004,Small,Tier 2,Supermarket Type1,3380.0
FDT02,12.6,Low Fat,2.4,Dairy,34.49,OUT035,2004,Small,Tier 2,Supermarket Type1,494.0
FDI34,10.65,Regular,8.5,Snack Foods,230.27,OUT045,2002,,Tier 2,Supermarket Type1,5759.0
FDO15,16.75,Regular,0.9,Meat,73.2,OUT035,2004,Small,Tier 2,Supermarket Type1,1404.0
DRI39,13.8,LF,9.7,Dairy,55.39,OUT018,2009,Medium,Tier 3,Supermarket Type2,1019.0
NCO14,9.6,Low Fat,3.0,Household,43.61,OUT013,1987,High,Tier 3,Supermarket Type1,625.0
NCN19,13.1,Low Fat,0.0,Others,189.25,OUT046,1997,Small,Tier 1,Supermarket Type1,1518.0
DRJ25,14.6,Low Fat,15.1,Soft Drinks,47.57,OUT045,2002,,Tier 2,Supermarket Type1,1380.0
FDE10,6.67,Regular,9.0,Snack Foods,130.56,OUT018,2009,Medium,Tier 3,Supermarket Type2,1180.0
FDQ08,15.7,Regular,1.9,Fruits and Vegetables,59.45,OUT046,1997,Small,Tier 1,Supermarket Type1,858.0
NCQ43,17.75,LF,11.1,Others,107.79,OUT013,1987,High,Tier 3,Supermarket Type1,983.0
FDY57,20.2,reg,12.1,Snack Foods,97.38,OUT013,1987,High,Tier 3,Supermarket Type1,959.0
FDQ34,10.85,Low Fat,16.3,Snack Foods,107.46,OUT017,2007,,Tier 2,Supermarket Type1,1694.0
NCG19,20.25,Low Fat,14.8,Household,232.76,OUT049,1999,Medium,Tier 1,Supermarket Type1,1875.0
FDI33,,Low Fat,2.8,Snack Foods,90.21,OUT027,1985,Medium,Tier 3,Supermarket Type3,3649.0
FDW27,5.86,Regular,15.1,Meat,156.03,OUT046,1997,Small,Tier 1,Supermarket Type1,2017.0
FDH04,6.115,Regular,1.1,Frozen Foods,92.45,OUT017,2007,,Tier 2,Supermarket Type1,1358.0
FDZ39,19.7,Regular,1.8,Meat,104.5,OUT046,1997,Small,Tier 1,Supermarket Type1,1032.0
NCK19,9.8,Low Fat,9.0,Others,194.55,OUT035,2004,Small,Tier 2,Supermarket Type1,775.0
FDY20,12.5,Regular,8.2,Fruits and Vegetables,89.05,OUT046,1997,Small,Tier 1,Supermarket Type1,1268.0
FDN39,19.35,Regular,11.0,Meat,166.08,OUT010,1998,,Tier 3,Grocery Store,671.0
NCY41,16.75,Low Fat,7.6,Health and Hygiene,34.55,OUT046,1997,Small,Tier 1,Supermarket Type1,324.0
NCN14,19.1,Low Fat,9.2,Others,182.76,OUT046,1997,Small,Tier 1,Supermarket Type1,1838.0
